;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__kernel;param_model__degree;param_model__C;param_PCA__n_components;params;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2
6;0.009290934;0.002257769;0;0;linear;4;1000;16;{'model__kernel': 'linear', 'model__degree': 4, 'model__C': 1000.0, 'PCA__n_components': 16};;;;;;;;32;;;;;;;;32
7;0.009586525;0.003194714;0;0;linear;2;0.1;19;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 0.1, 'PCA__n_components': 19};;;;;;;;32;;;;;;;;32
10;0.009586668;0.001956335;0;0;sigmoid;4;1;13;{'model__kernel': 'sigmoid', 'model__degree': 4, 'model__C': 1.0, 'PCA__n_components': 13};;;;;;;;32;;;;;;;;32
15;0.008406162;0.000836736;0;0;rbf;2;1;14;{'model__kernel': 'rbf', 'model__degree': 2, 'model__C': 1.0, 'PCA__n_components': 14};;;;;;;;32;;;;;;;;32
22;0.009587812;0.003197008;0;0;poly;3;100;16;{'model__kernel': 'poly', 'model__degree': 3, 'model__C': 100.0, 'PCA__n_components': 16};;;;;;;;32;;;;;;;;32
36;0.010788774;0.001596175;0;0;poly;1;10;13;{'model__kernel': 'poly', 'model__degree': 1, 'model__C': 10.0, 'PCA__n_components': 13};;;;;;;;32;;;;;;;;32
23;0.008033991;0.001260936;0;0;rbf;3;1;15;{'model__kernel': 'rbf', 'model__degree': 3, 'model__C': 1.0, 'PCA__n_components': 15};;;;;;;;32;;;;;;;;32
48;0.012504625;0.003224343;0;0;linear;2;0.01;19;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 0.01, 'PCA__n_components': 19};;;;;;;;32;;;;;;;;32
25;0.008802605;0.001591215;0;0;sigmoid;3;0.001;15;{'model__kernel': 'sigmoid', 'model__degree': 3, 'model__C': 0.001, 'PCA__n_components': 15};;;;;;;;32;;;;;;;;32
32;0.010922813;0.001551444;0;0;linear;2;10;16;{'model__kernel': 'linear', 'model__degree': 2, 'model__C': 10.0, 'PCA__n_components': 16};;;;;;;;32;;;;;;;;32
26;0.009847736;0.002315259;0;0;poly;2;0.001;15;{'model__kernel': 'poly', 'model__degree': 2, 'model__C': 0.001, 'PCA__n_components': 15};;;;;;;;32;;;;;;;;32
29;0.009583521;0.001955701;0;0;poly;5;0.1;16;{'model__kernel': 'poly', 'model__degree': 5, 'model__C': 0.1, 'PCA__n_components': 16};;;;;;;;32;;;;;;;;32
27;0.008973742;0.001561417;0;0;sigmoid;2;0.001;14;{'model__kernel': 'sigmoid', 'model__degree': 2, 'model__C': 0.001, 'PCA__n_components': 14};;;;;;;;32;;;;;;;;32
24;0.009016848;0.002984217;0;0;sigmoid;1;0.001;13;{'model__kernel': 'sigmoid', 'model__degree': 1, 'model__C': 0.001, 'PCA__n_components': 13};;;;;;;;32;;;;;;;;32
